日志文件创建成功：       [2015-05-03   00:15:38]
启动秒拍：       [2015-05-03   00:15:39]

**********************************************
         未登录情况用例执行                       
**********************************************

点击进入详情页并开始播放视频：       [2015-05-03   00:15:49]
点击停止播放：       [2015-05-03   00:16:01]
点击加关注按钮：       [2015-05-03   00:16:03]
点击关闭登录对话框：       [2015-05-03   00:16:07]
向上滑动：       [2015-05-03   00:16:10]
双击喜欢：       [2015-05-03   00:16:12]
点击关闭登录对话框：       [2015-05-03   00:16:14]
点击发送按钮：       [2015-05-03   00:16:16]
点击关闭登录对话框：       [2015-05-03   00:16:18]
点击返回退出详情页面：       [2015-05-03   00:16:20]
点击拍摄按钮：       [2015-05-03   00:16:22]
点击关闭登录对话框：       [2015-05-03   00:16:26]
点击好友：       [2015-05-03   00:16:28]
点击立即登录：       [2015-05-03   00:16:34]
点击关闭登录对话框：       [2015-05-03   00:16:34]
点击我：       [2015-05-03   00:16:36]
点击立即登录：       [2015-05-03   00:16:38]
点击关闭登录对话框：       [2015-05-03   00:16:42]
点击设置：       [2015-05-03   00:16:44]
点击立即登录：       [2015-05-03   00:16:46]
点击关闭登录对话框：       [2015-05-03   00:16:49]
点击返回退出设置页面       [2015-05-03   00:16:51]
点击首页：       [2015-05-03   00:16:53]
**********************************************
          手机登陆用例执行                       
**********************************************

点击拍摄按钮[2015-05-03   00:16:55]
点击登陆界面的手机号[2015-05-03   00:16:59]
点击手机号登陆页面的手机号输入框[2015-05-03   00:17:01]
输入手机号18600989561[2015-05-03   00:17:03]
击密码输入框[2015-05-03   00:17:05]
输入小于6为的密码[2015-05-03   00:17:07]
点击登录[2015-05-03   00:17:09]
输入错误的密码[2015-05-03   00:17:14]
点击登录[2015-05-03   00:17:16]
输入正确的密码[2015-05-03   00:17:23]
点击登录[2015-05-03   00:17:25]
**********************************************
          设置页面用例执行                       
**********************************************

点击地道底部导航上的“我”[2015-05-03   00:17:35]
在我的页面点击设置按钮（进入设置页面）[2015-05-03   00:17:37]
打开wifi下自动播放[2015-05-03   00:17:41]
打开“3G拍摄下使用较低画质”[2015-05-03   00:17:43]
打开静音[2015-05-03   00:17:45]
点击新消息提醒，进入新消息提醒页面[2015-05-03   00:17:48]
关闭新粉丝push[2015-05-03   00:17:52]
关闭评论push[2015-05-03   00:17:54]
关闭喜欢push[2015-05-03   00:17:56]
点击反回，回到设置页面[2015-05-03   00:18:00]
关闭wifi下自动播放[2015-05-03   00:18:02]
关闭“3G拍摄下使用较低画质”[2015-05-03   00:18:04]
关闭静音[2015-05-03   00:18:06]
点击新消息提醒，进入新消息提醒页面[2015-05-03   00:18:10]
打开新粉丝push[2015-05-03   00:18:12]
打开评论push[2015-05-03   00:18:14]
打开喜欢push[2015-05-03   00:18:16]
点击反回，回到设置页面[2015-05-03   00:18:19]
点击清空缓存[2015-05-03   00:18:21]
点击“否”取消清空[2015-05-03   00:18:23]
点击清空缓存[2015-05-03   00:18:25]
点击“是”，清空缓存[2015-05-03   00:18:29]
点击意见反馈，进入意见反馈页面[2015-05-03   00:18:31]
什么也不输入、点击发送[2015-05-03   00:18:33]
点击意见输入框[2015-05-03   00:18:37]
输入“hello”[2015-05-03   00:18:39]
点击“发送”[2015-05-03   00:18:41]
点击意见反馈[2015-05-03   00:18:43]
点击意见输入框[2015-05-03   00:18:45]
输入“hello”[2015-05-03   00:18:47]
点击联系方式输入框[2015-05-03   00:18:49]
输入错误的邮箱地址[2015-05-03   00:18:51]
点击发送[2015-05-03   00:18:53]
点击联系方式输入框[2015-05-03   00:18:57]
输入正确的邮箱地址[2015-05-03   00:19:03]
点击发送[2015-05-03   00:19:05]
点击意见反馈[2015-05-03   00:19:10]
点击意见输入框[2015-05-03   00:19:12]
输入“hello”[2015-05-03   00:19:14]
点击联系方式输入框[2015-05-03   00:19:16]
输入小于5位的qq号码[2015-05-03   00:19:18]
点击发送[2015-05-03   00:19:20]
点击联系方式输入框[2015-05-03   00:19:24]
输入5为的qq号码[2015-05-03   00:19:26]
点击发送[2015-05-03   00:19:28]
点击返回按钮退出设置页面[2015-05-03   00:19:33]
点击底导上的首页，进入首页[2015-05-03   00:19:35]
**********************************************
             评论用例执行                       
**********************************************

点击进入详情页面[2015-05-03   00:19:41]
不输入任何内容，点击评论的发送按钮[2015-05-03   00:19:44]
点击评论输入框[2015-05-03   00:19:47]
输入hello[2015-05-03   00:19:49]
点击发送[2015-05-03   00:19:51]
向上滚动页面[2015-05-03   00:19:55]
点击评论输入框[2015-05-03   00:19:59]
再次输入hello[2015-05-03   00:20:01]
点击发送[2015-05-03   00:20:03]
点击返回按钮，返回到首页[2015-05-03   00:20:07]
**********************************************
           搜索用例执行                       
**********************************************

点击首页左上角的搜索按钮[2015-05-03   00:20:09]
点击取消退出该页面[2015-05-03   00:20:11]
再次点击首页左上角的搜索按钮[2015-05-03   00:20:13]
输入yiixia66点击[2015-05-03   00:20:16]
点击收索[2015-05-03   00:20:18]
点击用户列表[2015-05-03   00:20:22]
点击用户列表的第一个，进入该用户的主页[2015-05-03   00:20:26]
点击返回按钮，退出用户户主页[2015-05-03   00:20:29]
再次点击返回按钮，返回到搜索页面[2015-05-03   00:20:31]
点击取消按钮，返回到首页[2015-05-03   00:20:33]
**********************************************
           拍摄发布用例执行                      
**********************************************

点击拍摄按钮，进入拍摄页面[2015-05-03   00:20:35]
点击关闭按钮退出拍摄页面[2015-05-03   00:20:37]
点击拍摄按钮进入拍摄页面[2015-05-03   00:20:39]
长按拍摄按钮2秒[2015-05-03   00:20:43]
长按拍摄按钮2秒[2015-05-03   00:20:48]
点击会删[2015-05-03   00:20:50]
长按拍摄按钮2秒[2015-05-03   00:20:57]
点击两次回删[2015-05-03   00:21:00]
点击确定按钮进入预览页面[2015-05-03   00:21:02]
点击确定按钮，进入发布页面[2015-05-03   00:21:09]
点击视频描述输入框[2015-05-03   00:21:27]
输入hello[2015-05-03   00:21:31]
点击保存草稿[2015-05-03   00:21:35]
点击底导上的我，进入我的页面[2015-05-03   00:21:38]
点击草稿箱[2015-05-03   00:21:40]
点击缩略图，播放该草稿[2015-05-03   00:21:44]
点击其他区域退出播放[2015-05-03   00:21:51]
点击草稿，进入视频编辑页面[2015-05-03   00:21:53]
点击确定按钮，进入发布页面[2015-05-03   00:21:58]
点击发布[2015-05-03   00:22:14]
点击关闭发布成功[2015-05-03   00:22:25]
点击拍摄按钮，进入拍摄页面[2015-05-03   00:22:27]
点击闪关灯[2015-05-03   00:22:29]
点击前置摄像头[2015-05-03   00:22:33]
点击切换到60秒拍摄[2015-05-03   00:22:35]
点击拍摄按钮，拍摄20秒视频[2015-05-03   00:22:37]
点击暂停拍摄[2015-05-03   00:22:57]
点击确定按钮进入预览界面[2015-05-03   00:23:01]
点击smile主题[2015-05-03   00:23:11]
点击屏幕暂停播放[2015-05-03   00:23:26]
点击确定按钮，进入预览界面[2015-05-03   00:23:30]
点击发布[2015-05-03   00:24:30]
点击关闭发布成功面板[2015-05-03   00:24:50]
点击底导上的首页[2015-05-03   00:24:52]
